year,county_name,precinct_code,total_precinct_votes,total_registered_voters,voter_turnout,anomaly_score
2012,York,160,21821,4137,5.274595117234711,-0.04768450091285947
2004,Berks,40,18370,4134,4.443638122883406,-0.04753239405027665
2016,Chester,1420,22342,3988,5.602306920762286,-0.04743510197276535
2020,Chester,1355,20835,4134,5.0399129172714074,-0.04742880250344672
2024,York,630,21387,3466,6.170513560300058,-0.04711893122569999
2016,York,950,20833,4106,5.073794447150512,-0.04692951098504261
2016,Lebanon,490,21060,4242,4.964639321074965,-0.046826004028124646
2008,Monroe,370,15064,4293,3.5089680875844396,-0.04620088460727689
2024,Cumberland,620,22157,3975,5.574088050314465,-0.04593822751437404
2024,York,1040,21583,3734,5.780128548473487,-0.04593822751437404
2024,Clearfield,640,21042,3397,6.194289078598763,-0.04562269786685191
2024,Northampton,780,21722,3772,5.758748674443266,-0.04543994415751651
2020,Montgomery,3310,20631,4088,5.046722113502935,-0.04543366171368801
2008,Chester,1290,22364,2464,9.0762987012987,-0.04508476893943292
2020,York,1010,18751,4063,4.615062761506276,-0.04503896131949503
2024,Monroe,350,19195,4108,4.672590068159688,-0.04503896131949503
2020,York,1100,18869,4106,4.595470043838286,-0.04503896131949503
2016,Lebanon,110,21166,4030,5.2521091811414395,-0.04493571962368503
2004,York,1050,17511,4102,4.2688932228181375,-0.044718288787930494
2020,York,640,18974,4049,4.686095332180785,-0.04454128618805686
2024,Montgomery,1987,21159,3643,5.808125171561899,-0.04444438826888708
2012,Lehigh,880,21184,4104,5.161793372319688,-0.044438114320540345
2020,Montgomery,3270,20547,4127,4.978677005088442,-0.04433495692896405
2024,Montgomery,2035,20592,3540,5.816949152542373,-0.04394711528138051
2024,Northampton,601,21692,3924,5.528032619775739,-0.04394711528138051
2004,Erie,850,8206,8343,0.9835790483039674,-0.04373460607995894
2020,Pike,10,17811,4095,4.349450549450549,-0.04372370876319043
2004,Butler,250,21202,3560,5.95561797752809,-0.04360144447158698
2020,Butler,540,21288,3713,5.733369243199569,-0.04345017862817968
2020,Montgomery,3320,20462,4015,5.0963885429638855,-0.043443913163826675
2024,Chester,1410,20691,3506,5.9015972618368515,-0.04328774331787888
2008,York,10,20008,4103,4.876431879112844,-0.04245105642308844
2016,York,410,20382,4094,4.978505129457743,-0.04234817783359235
2024,Chester,1680,20271,2874,7.053235908141962,-0.04230928007635837
2024,Allegheny,4870,20749,3294,6.299028536733455,-0.04214327461549594
2004,Chester,790,20435,3387,6.033362857986418,-0.04206971679609017
2024,Lehigh,920,21335,3936,5.420477642276423,-0.04185857451624797
2024,Chester,1770,20767,3471,5.983002016709882,-0.04112128740626153
2016,York,728,21368,3857,5.540057039149598,-0.04097053242026705
2024,Bucks,2250,21090,3738,5.642054574638844,-0.04097053242026705
2020,Cumberland,350,20557,3755,5.4745672436751,-0.04086786156159372
2020,York,728,21376,4005,5.337328339575531,-0.04072265673564612
2012,Allegheny,5950,9433,4722,1.9976704786107582,-0.04068546527662131
2004,York,610,18656,3978,4.689793866264455,-0.04057198385873906
2004,Butler,380,19988,3966,5.039838628340898,-0.04046936892001052
2016,Clearfield,640,19265,4004,4.811438561438561,-0.04046936892001052
2020,Monroe,240,17001,4100,4.1465853658536584,-0.040434019394594345
2020,Pike,65,14672,4119,3.562029618839524,-0.040241553531400465
2024,Perry,40,20588,3707,5.5538171027785275,-0.039981020327201744
2004,Chester,780,20519,3711,5.529237402317435,-0.039981020327201744
2016,Chester,60,19666,3866,5.086911536471805,-0.039974784466582314
2016,York,640,19663,3980,4.9404522613065325,-0.039974784466582314
2016,York,1010,19636,3892,5.045220966084275,-0.03948053452904965
2004,Lehigh,1210,19743,3978,4.963046757164404,-0.03937807273047067
2016,Northampton,90,8462,4291,1.9720344907946865,-0.0392755470660735
2008,Chester,80,20830,3924,5.308358817533129,-0.03923939310499647
2020,Lehigh,1300,19019,3954,4.8100657561962565,-0.038986618881160284
2012,Lehigh,1010,18776,3905,4.808194622279129,-0.038986618881160284
2016,Chester,1770,20095,3210,6.2601246105919,-0.038680291313846094
2016,Centre,640,12751,4753,2.6827266989269933,-0.03852455763875762
2024,Montgomery,1822,19975,3598,5.551695386325736,-0.03849926051297747
2020,Westmoreland,2780,19893,3599,5.527368713531536,-0.03849926051297747
2024,York,890,19951,3824,5.217311715481172,-0.03849303729681497
2024,Fayette,860,19487,3602,5.410049972237646,-0.038396936395961534
2024,Monroe,140,20694,3896,5.311601642710472,-0.038252221958062216
2012,Westmoreland,1680,20520,3345,6.134529147982063,-0.03818691691644294
2020,Chester,1770,20560,3430,5.994169096209912,-0.03815615279106088
2024,Pike,55,17335,3881,4.466632311259985,-0.038102057935992084
2004,Chester,80,20097,3897,5.157043879907621,-0.03799978955006722
2016,Montgomery,2025,18898,3710,5.093800539083558,-0.03799978955006722
2016,Centre,630,12507,4546,2.751209854817422,-0.03743616384037207
2012,Centre,640,12220,4586,2.664631487134758,-0.03743616384037207
2024,Chester,1030,19873,3031,6.556581986143187,-0.03739380909284551
2024,York,1130,19979,3731,5.354864647547575,-0.03726638572072005
2012,Montgomery,3310,19942,3226,6.181649101053937,-0.037201168988333366
2024,Butler,375,19973,3143,6.354756601972638,-0.03717208590347154
2024,Delaware,2120,20355,3437,5.92231597323247,-0.03717044646397072
2016,Westmoreland,1680,20218,3582,5.644332774986041,-0.03702050526368794
2020,Chester,590,20299,3590,5.654317548746518,-0.03702050526368794
2020,Perry,40,20231,3590,5.635376044568245,-0.03702050526368794
2024,York,700,18907,3683,5.13358674993212,-0.037014294666343206
2020,Lehigh,1340,19296,3758,5.134646088344864,-0.037014294666343206
2004,York,160,19773,3825,5.169411764705882,-0.037014294666343206
2020,Monroe,23,16744,4022,4.163102933863749,-0.03697911216413108
2016,Chester,1355,19500,3616,5.392699115044247,-0.03691838862932273
2008,Cumberland,710,19403,3561,5.448750351024993,-0.03691838862932273
2004,York,10,19609,3560,5.508146067415731,-0.03652825347499866
2012,York,1010,18839,3738,5.039860888175495,-0.03652204707823781
2016,Montgomery,3310,19807,3711,5.337375370520076,-0.036281882587828274
2008,Chester,790,19645,3684,5.332519001085776,-0.036281882587828274
2020,Wayne,190,16939,3920,4.321173469387755,-0.036161380663569886
2016,Cumberland,275,19701,3262,6.039546290619252,-0.03614379102654797
2016,Westmoreland,1690,19944,3558,5.6053962900505905,-0.03603633462448963
2024,Bucks,820,20076,3449,5.820817628298057,-0.03603633462448963
2024,Chester,240,20113,3487,5.767995411528535,-0.03554474848697575
2016,Montgomery,3270,19193,3706,5.178899082568807,-0.035538550482861586
2008,Lehigh,880,16449,4068,4.043510324483776,-0.035503439320222596
2008,York,410,16437,4105,4.004141291108405,-0.035430547891595277
2004,Erie,1070,16885,261,64.69348659003832,-0.03529000377869573
2004,Montgomery,2480,18183,3806,4.777456647398844,-0.03514915509249539
2016,Lebanon,60,19382,3525,5.498439716312057,-0.03505349483742426
2024,Chester,1320,19717,3050,6.464590163934426,-0.035007458203180186
2020,Montgomery,1989,19237,3844,5.004422476586889,-0.03494546124929854
2012,York,410,19206,3846,4.993759750390016,-0.03494546124929854
2008,York,728,15631,4000,3.90775,-0.03493937148247084
2016,Montgomery,3320,19182,3608,5.316518847006652,-0.03480762351659483
2020,Chester,1832,19443,3230,6.019504643962848,-0.034669811963625397
2020,Northampton,601,17422,3720,4.683333333333334,-0.03465816900549601
2020,York,590,17850,3864,4.619565217391305,-0.03465816900549601
2024,Montgomery,3290,20196,3367,5.998217998217998,-0.034568025152655224
2024,Montgomery,1263,20026,3539,5.658660638598474,-0.03456257345095415
2024,Northampton,594,19530,3526,5.53885422575156,-0.03456257345095415
2012,Lebanon,110,18643,3643,5.117485588800439,-0.03455638382813753
2024,Montgomery,2205,20078,3382,5.93672383205204,-0.034221317847956456
2016,Monroe,240,16666,3794,4.392725355824987,-0.033706350300103716
2000,Lancaster,500,14791,4000,3.69775,-0.033706350300103716
2012,Chester,710,19745,3457,5.711599652878218,-0.033581726568496006
2016,Centre,610,10802,4573,2.3621255193527224,-0.033444900243607134
2016,Franklin,250,19589,3038,6.447992100065833,-0.0331950107604434
2012,York,640,17587,3682,4.776480173818577,-0.033187202338906596
2020,Monroe,140,16908,3788,4.463569165786695,-0.03304210549471431
2016,Lehigh,1340,19085,3534,5.400396151669496,-0.03299023522170874
2012,Pike,10,14232,3966,3.588502269288956,-0.03286010852171528
2020,Montgomery,1987,18579,3634,5.112548156301596,-0.03259603314938875
2004,Lancaster,1680,17664,3676,4.805223068552775,-0.03259603314938875
2004,Monroe,176,11003,4352,2.528262867647059,-0.03246556474313167
2024,York,790,18895,3553,5.3180410920349,-0.032357165083302886
2016,Chester,590,20205,3376,5.98489336492891,-0.03226187274747849
2012,York,950,18266,3629,5.033342518600166,-0.032106773885518525
2016,Pike,35,16332,3962,4.12216052498738,-0.0320718286198417
2020,Monroe,350,16232,4046,4.011863568956994,-0.0320718286198417
2008,Chester,880,19023,3541,5.372211239762779,-0.03186806737963643
2016,Wayne,190,17156,3736,4.592077087794433,-0.031719218351982215
2004,Cumberland,710,18960,3127,6.063319475535657,-0.031701949599396095
2020,Northampton,780,18040,3634,4.9642267473858,-0.03151648694315912
2016,Northampton,10,18098,3632,4.982929515418502,-0.03151648694315912
2012,York,728,17355,3653,4.750889679715303,-0.031230552128360678
2004,York,1010,17086,3622,4.717283268912203,-0.031230552128360678
2020,Clearfield,640,19321,3479,5.553607358436333,-0.031135408253880503
2020,York,280,19653,3472,5.660426267281106,-0.031135408253880503
2016,Westmoreland,2780,19407,3416,5.681206088992974,-0.031135408253880503
2020,Erie,1440,16538,3655,4.524760601915185,-0.031085847435437408
2016,Perry,40,19753,3379,5.845812370523824,-0.03097569737491257
2024,Bucks,2810,19359,3282,5.89853747714808,-0.03097569737491257
2004,Monroe,53,11443,4683,2.443519111680547,-0.030654042650094193
2012,Clearfield,640,17730,3638,4.873556899395272,-0.030640980683777075
2012,Montgomery,1271,18091,3595,5.032267037552156,-0.030640980683777075
2004,York,155,17786,3641,4.884921724800879,-0.030640980683777075
2024,Northampton,90,12533,4234,2.9600850259801605,-0.030631213782304934
2024,Butler,540,19397,2856,6.791666666666667,-0.030573884606798885
2016,York,1100,18555,3700,5.014864864864865,-0.030539759154041612
2020,Pike,55,14799,3772,3.9233828207847297,-0.030533706356816626
2024,Chester,220,19737,3346,5.898684997011356,-0.030487534037267006
2004,Berks,385,19336,3265,5.9222052067381314,-0.03030772341264365
2016,York,590,18265,3562,5.127737226277373,-0.03015304373426997
2012,Lebanon,490,18531,3556,5.21119235095613,-0.03015304373426997
2008,York,1010,15825,3917,4.040081695174878,-0.030118192914687758
2012,Pike,35,14180,3911,3.62567118384045,-0.029928442331195737
2024,Butler,360,19319,2999,6.441813937979326,-0.02992275550578416
2004,Westmoreland,1690,19312,3396,5.686690223792698,-0.029671584690597053
2012,Chester,1770,19298,3076,6.27373211963589,-0.029334251970741798
2000,Cumberland,810,18942,3108,6.094594594594595,-0.029334251970741798
2016,Butler,15,19235,3226,5.962492250464972,-0.029332630183081965
2020,Butler,10,19352,3422,5.655172413793103,-0.029184303399323097
2012,Monroe,350,14453,3756,3.847976570820021,-0.029071102864697163
2024,Montgomery,2195,18980,3228,5.879801734820322,-0.02902502416877728
2020,York,1040,15961,3695,4.319621109607578,-0.028821135074912796
2004,Erie,1120,18821,3107,6.0576118442227225,-0.028774975445594597
2008,Lebanon,110,16033,3629,4.418021493524387,-0.028748914299356
2008,Allegheny,5950,11576,4405,2.627922814982974,-0.028704238775812185
2004,Westmoreland,1680,19298,3320,5.812650602409638,-0.028697351684396466
2024,York,714,18406,3568,5.158632286995516,-0.02869121211189385
2012,Fayette,860,15327,3790,4.044063324538259,-0.028656431959331763
2008,York,640,15287,3786,4.037770734284205,-0.028656431959331763
2024,Chester,1500,19018,2794,6.8067287043665,-0.02862429737457106
2004,York,200,15489,3737,4.144768530907145,-0.02816983727420308
2024,Monroe,56,15998,3647,4.3866191390183715,-0.027848052095587494
2004,York,410,16294,3715,4.386002691790041,-0.027848052095587494
2008,Dauphin,1145,17824,3585,4.971827057182706,-0.027617493369823776
2016,Monroe,350,14119,3582,3.941652707984366,-0.027611465094230736
2024,York,175,19120,3275,5.8381679389312975,-0.027565479832100004
2008,Lehigh,1010,15880,3741,4.244854317027532,-0.027362004164228182
2012,Westmoreland,2780,18734,3217,5.823437985700964,-0.027238471769339467
2004,Berks,1540,15031,3711,4.050390730261385,-0.027197635017216726
2024,Bucks,1640,16360,3634,4.501926252063842,-0.0271891784835796
2024,Butler,570,19187,2859,6.711087792934593,-0.02716556559176575
2020,Butler,730,14467,3822,3.785190999476714,-0.027024848893228204
2008,Monroe,140,13317,3627,3.6716294458229943,-0.027020145819533492
2008,Monroe,240,13749,3797,3.6210165920463524,-0.02700865316821166
2016,Monroe,23,15064,3678,4.095704187058184,-0.02671202700031483
2024,York,170,19194,3060,6.272549019607843,-0.026416870044739693
2024,Montgomery,2020,19270,3321,5.802469135802469,-0.02626752895834683
2024,Bucks,765,19291,3326,5.800060132291041,-0.02626752895834683
2012,Northampton,1030,15223,3629,4.194819509506751,-0.026226747428028663
2020,Monroe,56,13919,3626,3.838665195808053,-0.026154787031822613
2020,Franklin,250,18728,3212,5.830635118306351,-0.026108895014025357
2008,Fayette,860,13559,3768,3.5984607218683653,-0.02603802113114717
2004,Lancaster,1490,19054,3179,5.9937087134318965,-0.025901543175582686
2016,Monroe,140,16805,3630,4.629476584022038,-0.025805274788029853
2012,Monroe,240,15158,3665,4.135879945429741,-0.02574179607821203
2012,Cumberland,269,18744,3198,5.861163227016886,-0.025695930496637764
2016,Pike,65,13829,3597,3.844592716152349,-0.025669884352958472
2020,Fayette,860,16870,3603,4.682209270052734,-0.025320608504386888
2024,Monroe,175,16187,3606,4.488907376594565,-0.025248739050590774
2008,York,1040,13536,3730,3.6289544235924933,-0.025068701638539248
2008,York,950,15410,3582,4.302065884980458,-0.02493669119506825
2024,Bucks,1340,18711,3162,5.917457305502846,-0.024932408236314374
2000,Monroe,160,16720,3633,4.602257087806221,-0.024836270028411267
2016,York,280,19012,3289,5.7804803891760415,-0.02481357599574896
2016,Pike,10,15656,3588,4.363433667781494,-0.0244526123844373
2012,Cumberland,275,18738,3267,5.735537190082645,-0.02432958045500422
2012,Westmoreland,1690,19054,3327,5.727081454764051,-0.02432958045500422
2024,Chester,260,18796,2773,6.778218535881717,-0.024256969641439197
2000,Chester,1320,14245,3567,3.993552004485562,-0.023733551095568406
2020,Allegheny,7440,5460,3531,1.546304163126593,-0.023586076140971746
2004,Fayette,860,13258,3555,3.729395218002813,-0.023385219230085963
2020,Butler,375,13391,195,68.67179487179487,-0.02335328080822341
2020,York,890,16021,3571,4.486418370204425,-0.0233135440168859
2024,Chester,203,18987,2883,6.585848074921956,-0.023290058589074847
2024,Chester,1535,18742,3376,5.55154028436019,-0.02326237091064476
2020,Bucks,1640,13811,3586,3.851366424986057,-0.023250286037745815
2012,Wayne,190,15577,3542,4.3977978543195935,-0.023002339528861437
2016,Montgomery,1989,16630,3559,4.672660859792076,-0.022902189769126835
2024,Franklin,226,18749,2857,6.562478123906195,-0.022807093490727293
2012,Allegheny,5790,6123,3658,1.6738655002733733,-0.02272018247994334
2012,Columbia,150,10221,4064,2.515009842519685,-0.022673141375429973
2024,Centre,130,19208,3043,6.312191915872495,-0.022545404551751247
2012,Centre,610,11508,4265,2.6982415005861666,-0.022403696399529438
2008,Pike,35,11525,4200,2.744047619047619,-0.0219213307988807
2012,York,1100,17394,3435,5.063755458515284,-0.021908426943684778
2008,Monroe,350,12324,4037,3.0527619519445133,-0.021898778267578245
2012,Chester,590,18536,3157,5.871396895787139,-0.021728371645182487
2016,York,235,18404,3133,5.874241940631982,-0.021728371645182487
2008,Cumberland,760,17281,525,32.91619047619048,-0.021604549964746256
2000,Pike,20,12883,3812,3.3795907660020985,-0.02150021093808263
2016,Erie,1315,17853,3421,5.218649517684887,-0.021426396322238195
2012,Chester,1420,17531,3416,5.132025761124122,-0.021426396322238195
2024,Cumberland,380,18747,2791,6.71694733070584,-0.02136015725443363
2024,Montgomery,1970,19101,3366,5.674688057040998,-0.02133254440711574
2004,Cumberland,730,18240,3205,5.691107644305772,-0.02095076519354999
2020,York,970,18743,3348,5.5982676224611705,-0.02085090328813155
2020,Butler,330,18735,3320,5.643072289156627,-0.02085090328813155
2016,York,970,18585,3170,5.8627760252365935,-0.020764879908435452
2024,Erie,1380,18635,2891,6.445866482186095,-0.020615077087739797
2020,Chester,1410,17514,3405,5.143612334801762,-0.02046331293388781
2000,Cumberland,190,17319,3403,5.089332941522186,-0.02046331293388781
2012,Chester,1510,17587,3418,5.145406670567583,-0.02046331293388781
2008,York,890,14267,3529,4.042788325304619,-0.02042893052967576
2008,Philadelphia,1040,10171,4028,2.525074478649454,-0.02026366370827737
